train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,3.43,3.07,3.5,1.36,3.21,14
51-100,2.67,3.11,3.56,1.33,3.11,9
101-250,3.57,3.14,3.14,1.43,3.43,7
251-500,2.25,2.75,3.5,1.25,3.75,4
501-1000,4.0,3.5,2.5,1.0,2.5,2
