type,CBoss,PForest,ST,TSF,WEASEL,num_datasets
ECG,0,0,1,4,1,5
SPECTRO,1,0,0,7,0,8
SENSOR,3,2,1,11,2,13
Traffic,0,0,0,1,0,1
DEVICE,1,0,0,3,1,5
EPG,0,1,0,2,2,2
HAR,0,0,0,1,0,1
SOUND,0,0,0,0,1,1
