num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,2.67,3.17,3.5,1.83,2.83,6
4-5,3.17,2.83,3.17,1.0,4.67,6
2,3.3,3.0,3.45,1.1,3.1,20
11 +,4.0,4.5,2.5,2.5,1.5,2
6-10,2.5,3.0,4.0,2.0,3.5,2
