num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,2,1,1,3,3,6
4-5,0,0,0,6,0,6
2,2,2,1,18,3,20
11 +,0,0,0,1,1,2
6-10,1,0,0,1,0,2
