train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,2.29,3.43,2.21,3.64,1.93,14
51-100,2.56,3.33,2.67,2.56,2.56,9
101-250,2.71,3.57,2.29,2.86,2.43,7
251-500,1.75,4.0,3.25,2.75,2.5,4
501-1000,2.0,4.5,2.5,4.0,2.0,2
