train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,3.0,3.5,3.0,2.0,3.21,14
51-100,2.0,3.33,3.44,1.67,3.67,9
101-250,2.86,4.14,3.0,1.71,3.0,7
251-500,2.0,3.25,2.25,1.25,4.75,4
501-1000,2.0,4.0,2.0,2.0,4.5,2
