num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,2.33,3.17,2.83,2.0,2.5,6
4-5,1.5,5.0,1.83,3.83,1.5,6
2,2.8,3.15,2.6,3.2,2.5,20
11 +,2.0,5.0,2.0,4.0,1.5,2
6-10,1.0,3.0,2.5,3.0,2.0,2
