train_length_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
501-1000,2.2,3.3,3.1,1.6,3.2,10
251-500,1.88,4.0,2.38,1.88,4.38,8
1-50,2.67,3.67,3.33,1.33,4.0,3
51-100,4.0,2.8,4.0,1.8,2.4,5
101-250,2.86,3.57,2.43,1.86,4.14,7
1001 +,2.33,4.67,3.33,2.33,2.33,3
