train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,2,0,4,6,4,14
51-100,5,1,0,5,1,9
101-250,1,0,1,5,1,7
251-500,2,1,1,3,0,4
501-1000,1,0,1,0,0,2
