train_size_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
1-50,13,0,10,11,13,10,14
51-100,7,0,4,5,9,5,9
101-250,5,0,4,6,7,6,7
251-500,3,0,2,3,3,2,4
501-1000,2,0,1,2,2,0,2
