train_length_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
501-1000,6,0,7,6,7,5,10
251-500,5,0,6,4,7,3,8
1-50,0,0,0,0,1,0,3
51-100,2,0,3,2,5,4,5
101-250,5,0,5,7,7,4,7
1001 +,2,0,1,2,3,2,3
