train_length_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
501-1000,2.3,3.1,3.2,2.4,2.1,10
251-500,1.88,4.25,2.0,2.5,2.75,8
1-50,4.0,2.67,2.0,2.67,3.33,3
51-100,3.4,3.2,1.8,4.4,1.6,5
101-250,2.14,3.71,2.43,3.71,1.86,7
1001 +,1.0,4.33,3.0,4.33,2.33,3
