num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,3,1,1,3,2,6
4-5,2,0,0,4,0,6
2,6,1,6,9,3,20
11 +,0,0,0,1,1,2
6-10,0,0,0,2,0,2
