type,CBoss,PForest,ST,TSF,WEASEL,num_datasets
ECG,3.0,3.4,1.8,3.8,2.2,5
SPECTRO,2.12,4.25,2.25,2.75,2.25,8
SENSOR,2.31,3.46,2.23,3.54,2.31,13
Traffic,4.0,1.0,2.0,3.0,5.0,1
DEVICE,2.6,3.8,3.4,2.6,2.4,5
EPG,1.0,1.0,5.0,1.0,1.0,2
HAR,3.0,5.0,1.0,4.0,1.0,1
SOUND,1.0,5.0,3.0,4.0,2.0,1
