train_length_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
501-1000,3,2,2,8,5,10
251-500,2,0,0,6,0,8
1-50,0,0,0,3,0,3
51-100,0,1,0,4,0,5
101-250,0,0,0,7,0,7
1001 +,0,0,0,1,2,3
