type,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
ECG,4,0,4,5,4,4,5
SPECTRO,8,0,8,8,8,8,8
SENSOR,12,0,13,12,12,12,13
Traffic,1,0,1,1,1,1,1
DEVICE,5,0,5,5,5,5,5
EPG,2,0,2,2,2,2,2
HAR,1,0,0,1,1,1,1
SOUND,1,0,0,1,1,1,1
