num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,3,2,2,3,2,6
4-5,4,0,3,0,4,6
2,4,6,5,4,6,20
11 +,1,0,1,0,1,2
6-10,2,1,1,1,1,2
