train_size_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
1-50,13,0,13,14,13,13,14
51-100,9,0,9,9,9,9,9
101-250,7,0,5,7,7,7,7
251-500,3,0,4,3,3,3,4
501-1000,2,0,2,2,2,2,2
