train_length_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
501-1000,2.6,3.0,3.2,1.4,2.9,10
251-500,2.75,3.0,3.75,1.38,3.75,8
1-50,4.0,3.0,3.33,1.0,3.0,3
51-100,4.0,2.8,3.6,1.2,3.2,5
101-250,3.43,3.29,3.14,1.0,3.71,7
1001 +,3.33,3.67,3.33,2.33,2.33,3
