num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,2.67,3.33,3.5,1.5,3.0,6
4-5,3.17,3.83,2.83,1.33,3.5,6
2,3.25,3.3,3.15,1.4,3.3,20
11 +,3.0,5.0,3.0,2.5,1.5,2
6-10,3.0,3.5,3.5,1.0,3.5,2
