train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,2,1,2,8,3,14
51-100,0,0,1,8,1,9
101-250,0,0,0,6,1,7
251-500,2,1,1,3,0,4
501-1000,0,0,1,1,0,2
