num_classes_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
3,5,0,6,3,5,4,6
4-5,5,0,4,5,6,4,6
2,13,0,16,13,19,11,20
11 +,1,0,0,1,2,1,2
6-10,2,0,1,1,2,2,2
