train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,0,1,1,11,3,14
51-100,3,1,1,7,2,9
101-250,0,0,0,6,1,7
251-500,2,1,0,3,1,4
501-1000,0,0,0,2,0,2
