num_classes_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
3,5,0,5,6,5,5,6
4-5,6,0,6,6,6,6,6
2,19,0,20,19,19,19,20
11 +,2,0,0,2,2,2,2
6-10,2,0,2,2,2,2,2
