train_size_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
1-50,3.14,3.5,3.36,1.71,2.71,14
51-100,3.67,3.22,3.33,1.11,3.33,9
101-250,2.86,4.0,3.57,1.43,3.0,7
251-500,2.25,3.25,2.25,1.25,4.5,4
501-1000,3.0,3.5,1.5,1.5,4.0,2
