type,CBoss,PForest,ST,TSF,WEASEL,num_datasets
ECG,3.6,3.4,2.2,2.0,3.6,5
SPECTRO,1.62,3.75,2.5,2.0,4.5,8
SENSOR,2.69,3.54,2.92,1.77,3.46,13
Traffic,4.0,2.0,3.0,1.0,5.0,1
DEVICE,2.4,4.0,3.6,1.4,3.6,5
EPG,2.5,2.0,5.0,1.0,1.0,2
HAR,3.0,5.0,4.0,1.0,2.0,1
SOUND,2.0,5.0,3.0,4.0,1.0,1
