type,CBoss,PForest,ST,TSF,WEASEL,num_datasets
ECG,3.8,2.8,3.0,1.6,3.2,5
SPECTRO,2.62,3.62,3.0,1.12,4.0,8
SENSOR,3.15,2.77,3.69,1.23,3.0,13
Traffic,4.0,3.0,2.0,1.0,4.0,1
DEVICE,2.6,3.2,3.6,1.4,4.2,5
EPG,4.0,2.0,5.0,1.0,1.0,2
HAR,5.0,4.0,3.0,1.0,2.0,1
SOUND,3.0,5.0,2.0,4.0,1.0,1
