train_length_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
501-1000,2.5,3.2,3.3,1.4,3.2,10
251-500,2.75,3.88,3.38,1.38,3.38,8
1-50,4.0,3.67,2.67,1.0,3.67,3
51-100,4.2,2.8,3.8,1.6,2.4,5
101-250,3.57,3.43,2.14,1.29,4.0,7
1001 +,2.33,4.67,4.0,2.33,1.67,3
