train_length_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
501-1000,8,0,8,5,8,6,10
251-500,6,0,7,6,8,7,8
1-50,1,0,1,1,3,0,3
51-100,2,0,4,2,5,3,5
101-250,6,0,6,7,7,4,7
1001 +,3,0,1,2,3,2,3
