type,CBoss,PForest,ST,TSF,WEASEL,num_datasets
ECG,2,1,2,0,1,5
SPECTRO,4,1,3,2,4,8
SENSOR,3,3,6,2,5,13
Traffic,0,1,0,0,0,1
DEVICE,2,1,0,2,1,5
EPG,2,2,0,2,2,2
HAR,0,0,1,0,1,1
SOUND,1,0,0,0,0,1
