num_classes_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
3,2.0,3.17,3.33,2.0,3.0,6
4-5,2.0,4.33,2.83,1.33,4.33,6
2,2.8,3.25,2.85,1.85,3.7,20
11 +,2.5,5.0,3.5,2.5,1.5,2
6-10,3.5,4.5,3.0,1.0,3.0,2
