train_length_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
501-1000,7,0,6,6,8,6,10
251-500,7,0,4,6,8,5,8
1-50,2,0,1,2,3,1,3
51-100,4,0,4,4,5,4,5
101-250,7,0,5,7,7,5,7
1001 +,3,0,1,2,3,2,3
