train_length_std,CBoss,PForest,ST,TSF,WEASEL,num_datasets
501-1000,4,2,2,7,2,10
251-500,4,0,3,3,0,8
1-50,1,0,0,2,0,3
51-100,0,0,0,3,2,5
101-250,2,0,2,3,0,7
1001 +,0,0,0,1,2,3
