train_size_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
1-50,7,0,9,7,13,8,14
51-100,6,0,5,4,6,5,9
101-250,4,0,4,5,6,3,7
251-500,2,0,3,3,3,1,4
501-1000,1,0,1,2,2,1,2
