num_classes_std,CBoss,Dummy,PForest,ST,TSF,WEASEL,num_datasets
3,5,0,4,4,5,3,6
4-5,6,0,2,4,6,4,6
2,16,0,14,17,19,13,20
11 +,1,0,0,1,2,2,2
6-10,2,0,1,1,2,1,2
