,0
PForest_30,15.86111111111111
WEASEL_30,15.36111111111111
ST_30,13.86111111111111
PForest_100,13.652777777777779
PForest_20,12.777777777777779
CBoss_30,12.75
TSF_100,12.26388888888889
CBoss_20,11.5
WEASEL_20,11.444444444444445
ST_20,11.333333333333334
TSF_30,10.13888888888889
ST_100,9.63888888888889
CBoss_100,9.51388888888889
WEASEL_100,9.38888888888889
TSF_20,7.736111111111111
ST_10,7.472222222222222
CBoss_10,7.458333333333333
PForest_10,6.958333333333333
WEASEL_10,6.847222222222222
TSF_10,4.041666666666667
