,0
ST_10,15.666666666666666
WEASEL_10,15.11111111111111
CBoss_10,15.083333333333334
PForest_10,14.680555555555555
PForest_20,14.319444444444445
PForest_30,13.541666666666666
ST_20,13.166666666666666
WEASEL_20,13.083333333333334
CBoss_20,13.041666666666666
WEASEL_30,12.722222222222221
ST_30,10.333333333333334
CBoss_30,9.375
TSF_10,9.083333333333334
PForest_100,8.208333333333334
TSF_20,7.013888888888889
TSF_30,6.722222222222222
TSF_100,5.791666666666667
ST_100,4.444444444444445
CBoss_100,4.430555555555555
WEASEL_100,4.180555555555555
