,0
Dummy_10,17.791666666666668
ST_10,15.958333333333334
WEASEL_10,15.430555555555555
CBoss_10,15.416666666666666
PForest_10,14.958333333333334
PForest_20,14.51388888888889
PForest_30,13.819444444444445
ST_20,13.416666666666666
WEASEL_20,13.277777777777779
CBoss_20,13.222222222222221
WEASEL_30,13.0
ST_30,10.48611111111111
CBoss_30,9.48611111111111
TSF_10,9.152777777777779
PForest_100,8.26388888888889
TSF_20,7.041666666666667
TSF_30,6.763888888888889
TSF_100,5.833333333333333
CBoss_100,4.472222222222222
ST_100,4.472222222222222
WEASEL_100,4.222222222222222
