,0
Dummy_100,23.791666666666668
Dummy_30,20.291666666666668
PForest_30,17.88888888888889
WEASEL_30,17.291666666666668
ST_30,15.625
Dummy_20,15.541666666666666
PForest_100,15.458333333333334
CBoss_30,14.25
PForest_20,13.916666666666666
TSF_100,13.805555555555555
WEASEL_20,12.569444444444445
CBoss_20,12.541666666666666
ST_20,12.51388888888889
TSF_30,11.180555555555555
ST_100,10.75
CBoss_100,10.694444444444445
WEASEL_100,10.541666666666666
Dummy_10,8.51388888888889
TSF_20,8.458333333333334
CBoss_10,7.833333333333333
ST_10,7.819444444444445
PForest_10,7.319444444444445
WEASEL_10,7.236111111111111
TSF_10,4.166666666666667
